point_id,speed
3612F,7.034272465365989
3613F,7.126257234259174
6799F,7.09789955668619
6856,7.162290861810819
6857,6.9011919610594665
2256F,3.853109876275519
2257G,4.016806320121634
6858G,3.972954956903975
2259F,3.969085809096896
2260F,3.9687856127269296
6860G,4.089889173070605
6705F,4.175112493094069
0631,2.277484408898942
2539F,2.7916836377428322
6099,2.3642129999067723
6106,3.419467544316684
6121F,3.4317952075819824
2331F,3.4676301413593165
6077F,3.8543815432515807
6109,3.6084857394135126
6427F,4.04169871847314
2960F,3.0595660051694056
2971F,3.286075198133117
6120,3.2563645032778568
3508F,3.055945889793713
3123,3.8597556031793534
6113F,3.958861188381523
6114F,4.000452257954689
1805F,3.953143917452236
6008,4.843399643846464
6117,4.887065700138874
6463F,4.517577945526193
2285G,3.924859645342873
1042,2.422602766791673
6462F,7.694712406637384
6153,4.070974516756571
6009,4.234479128224647
6155F,4.122864077569703
6156F,4.656664129644594
6157F,4.471697269019073
6158H,4.484285338639132
3572F,3.8291683946044572
2380F,3.533291118144512
2972F,3.407297212000352
2931F,3.4868998803583673
6425F,3.338624422115425
6162,3.090743124988228
6078,2.7889445430837174
2336G,2.9952088608947998
6165,3.0623885880867903
6166,3.3492063292149936
6175,3.334895815554595
2671F,3.6041242353126517
0636,3.242864333728048
6068,1.631130549785909
6808G,3.546932708564816
2217F,3.506676009018308
2218F,3.5125262666255193
6809F,3.5887052465438085
2220F,3.5229316742807115
2535F,3.564648459712352
6810,3.416687737910436
6811,5.582715489817198
6792F,5.635099440042732
3608,5.628597504655906
3609F,5.681924077697084
3610F,5.485091963909567
6812,4.508129654187381
3263F,4.5851776731736384
6648F,4.507233568985724
6650G,3.792056836804945
6659F,4.530208612866706
6657,4.549298255349392
5407F,7.462486877690685
5413F,4.933053192992393
5414F,4.947713603778154
5415F,6.053161302872405
5416F,6.035443974930715
5418,5.765095671205497
5419,6.174386870030455
5420F,6.083167632509269
5421,6.171011018210669
5422,6.005663205876207
5423,5.5180682977754785
2077,5.743433729775075
2086,5.822357023608518
5426,5.782392878816178
5269F,6.713279563444927
